Date,Hour,DayOfWeek,Month,T,RH,AH,CO(GT)_lag1,CO(GT)_lag24,NMHC(GT)_lag1,NMHC(GT)_lag24,C6H6(GT)_lag1,C6H6(GT)_lag24,NOx(GT)_lag1,NOx(GT)_lag24,NO2(GT)_lag1,NO2(GT)_lag24,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT)
2005-04-04 01:00:00,1,0,4,28.5,13.1,0.5028,,,,,,,,,,,1.7161207568403987,274.99952131853513,12.230336894453586,219.91691529895982,153.12835654658141
2005-04-04 02:00:00,2,0,4,28.5,13.1,0.5028,,,,,,,,,,,1.4880667947329378,274.99952131853513,14.249922179857066,222.0535800695872,141.40141242058087
2005-04-04 03:00:00,3,0,4,28.5,13.1,0.5028,,,,,,,,,,,1.168332822773526,274.99952131853513,17.480486037298256,227.2754144980783,136.55397211552594
2005-04-04 04:00:00,4,0,4,28.5,13.1,0.5028,,,,,,,,,,,0.8587509152222007,274.99952131853513,16.527048626715008,222.86152387812606,129.80589212599216
2005-04-04 05:00:00,5,0,4,28.5,13.1,0.5028,,,,,,,,,,,0.8637914766249072,274.99952131853513,15.607296879577431,242.2446243479467,128.9444525806162
2005-04-04 06:00:00,6,0,4,28.5,13.1,0.5028,,,,,,,,,,,1.564102701808956,274.99952131853513,16.03190396681589,283.3854013970726,138.29138465905095
2005-04-04 07:00:00,7,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.470293661046575,274.99952131853513,16.464630323691672,283.0160688403869,141.62668748558247
2005-04-04 08:00:00,8,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.7322284951689473,274.9995213185352,16.96511157205201,276.4075603306549,143.48917540970393
2005-04-04 09:00:00,9,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.553765690563717,274.99952131853513,15.18469038712969,243.63430903430307,136.6794465929574
2005-04-04 10:00:00,10,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.6120503147338803,274.99952131853513,14.404099142072159,219.08285367114328,131.59269714712136
2005-04-04 11:00:00,11,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.554992799051564,274.9995213185352,14.009355256129382,207.47317098395592,130.30540173563722
2005-04-04 12:00:00,12,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.5402422010752046,274.9995213185352,13.620090329218389,200.67046086903807,131.30199511719042
2005-04-04 13:00:00,13,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.4169782999037155,274.99952131853513,13.38175645612928,172.84831787632135,133.59775133678227
2005-04-04 14:00:00,14,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.280520421606703,274.99952131853513,13.141834181347024,161.86102445837705,134.9129318790081
2005-04-04 15:00:00,15,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.220177987727971,274.99952131853513,12.849481050287933,163.3703587013115,134.4516035442498
2005-04-04 16:00:00,16,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.4023087635331875,274.99952131853513,12.896117092130815,173.88294336113765,135.76095801006693
2005-04-04 17:00:00,17,0,4,28.5,13.1,0.5028,,,,,,,,,,,3.2694434561287795,274.99952131853513,16.512049587123734,191.59589056530638,145.0450092810847
2005-04-04 18:00:00,18,0,4,28.5,13.1,0.5028,,,,,,,,,,,3.805325402926023,274.99952131853513,20.55772043009097,224.4296068961092,153.1789702947946
2005-04-04 19:00:00,19,0,4,28.5,13.1,0.5028,,,,,,,,,,,4.294331544034797,274.99952131853513,22.448478623232166,275.5293043269259,160.9359786191371
2005-04-04 20:00:00,20,0,4,28.5,13.1,0.5028,,,,,,,,,,,4.25315708553548,274.99952131853513,21.250273709730806,313.22131807470026,166.0649145852098
2005-04-04 21:00:00,21,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.9343219683466235,274.99952131853513,15.581213210166515,296.4685909297043,153.3009560687351
2005-04-04 22:00:00,22,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.5060126516725836,274.99952131853513,12.837436168907528,260.90317281680245,142.20993698600574
2005-04-04 23:00:00,23,0,4,28.5,13.1,0.5028,,,,,,,,,,,2.1843012865629547,274.99952131853513,11.720860436477347,233.24423370425694,131.7665278741445
2005-04-05 00:00:00,0,1,4,28.5,13.1,0.5028,,,,,,,,,,,1.9617325256257478,274.99952131853513,13.645365058935361,234.9016039256114,127.86081683540257
2005-04-05 01:00:00,1,1,4,28.5,13.1,0.5028,,,,,,,,,,,1.61925207648441,274.99952131853513,17.6413783346746,226.53665211361906,125.20294666534673
2005-04-05 02:00:00,2,1,4,28.5,13.1,0.5028,,,,,,,,,,,1.616332338042515,274.99952131853513,16.559819121656556,224.66233915393053,122.29452900085501
2005-04-05 03:00:00,3,1,4,28.5,13.1,0.5028,,,,,,,,,,,1.7146917464484466,274.99952131853513,16.368352416168197,224.41636595271055,117.82631251670637
2005-04-05 04:00:00,4,1,4,28.5,13.1,0.5028,,,,,,,,,,,1.8262517663882376,274.9995213185352,15.954115022624663,225.50236781398863,105.03450205188024
2005-04-05 05:00:00,5,1,4,28.5,13.1,0.5028,,,,,,,,,,,1.903154621777265,274.99952131853513,15.767425973328171,227.77990963797936,109.84901755277242
2005-04-05 06:00:00,6,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.299111615115837,274.99952131853513,16.38519719147072,246.35133299721048,124.74832725034862
2005-04-05 07:00:00,7,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.839679876139843,274.99952131853513,16.66500133817811,288.67794455357534,133.6848161702554
2005-04-05 08:00:00,8,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.750936013150515,274.99952131853513,17.755718144240415,276.19857294581794,140.75819976892632
2005-04-05 09:00:00,9,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.600618936582665,274.99952131853513,15.863047745002408,270.746307897627,143.86502239401943
2005-04-05 10:00:00,10,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.497341350994197,274.9995213185352,13.560357923193868,266.11744118087194,141.58097842178975
2005-04-05 11:00:00,11,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.376141753889813,274.99952131853513,13.410404579724377,251.41096598784776,137.4930726275743
2005-04-05 12:00:00,12,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.3930767954289474,274.99952131853513,13.688016383093961,235.08479567343383,134.87870755546422
2005-04-05 13:00:00,13,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.4325593993183894,274.99952131853513,13.476082510079502,216.76837912797865,133.87473655261792
2005-04-05 14:00:00,14,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.4421094918976567,274.99952131853513,13.658480097810275,213.58200591253382,132.78020422525586
2005-04-05 15:00:00,15,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.438321228399617,274.99952131853513,13.412948928737372,216.05689175317596,133.13068678122568
2005-04-05 16:00:00,16,1,4,28.5,13.1,0.5028,,,,,,,,,,,2.629404051549741,274.99952131853513,14.006859171701402,227.1234193212496,134.94380474548714
2005-04-05 17:00:00,17,1,4,28.5,13.1,0.5028,,,,,,,,,,,3.1646755963164144,274.99952131853513,16.98508513510193,244.99140337949697,141.1163468162952
2005-04-05 18:00:00,18,1,4,28.5,13.1,0.5028,,,,,,,,,,,3.8232051964889546,274.99952131853513,21.022030608520197,285.4549071426486,151.9703379498734
2005-04-05 19:00:00,19,1,4,28.5,13.1,0.5028,,,,,,,,,,,4.328510798971827,274.99952131853513,25.12984327774247,296.52063413864846,164.04279643600046
2005-04-05 20:00:00,20,1,4,28.5,13.1,0.5028,,,,,,,,,,,4.145235255854803,274.99952131853513,21.61141181423512,276.62807387651117,163.40164845286097
